Spec_File,OptUV_Radius,OptUV_Temperature,OptUV_ChiSquare,SoftX_Radius,SoftX_Temperature,SoftX_ChiSquare
150,80140593758723.81,153324.9152896095,1.2743675410181767e+46,4006441416043.9155,446401.63624961453,6.706521141397684e+41
151,72758173706358.38,161322.73884482653,1.014609422497755e+46,3302305621475.7617,403236.7181251849,8.418520716287156e+42
152,66055810080747.76,169737.74953169507,8.763623229637794e+45,2471183323773.634,519965.2706590242,1.3348809321612639e+42
153,66055810080747.76,169737.74953169507,1.0725172616157551e+46,4860716923292.736,446401.63624961453,9.898187621520955e+41
154,66055810080747.76,169737.74953169507,1.0822774383413421e+46,5618966969611.556,383245.63598981337,3.4723915508722234e+41
155,57141925851808.195,178591.7089084208,7.54701975612597e+45,4860716923292.736,424270.586733286,2.363748809763959e+41
156,210649396875692.94,102082.17340924787,1.7121134015476935e+46,2036870562768.1086,424270.586733286,2.8952728831487302e+40
157,76360220282735.89,161322.73884482653,1.303341716318892e+46,1197082870574.8118,637243.9927387064,7.999800933734238e+42
158,76360220282735.89,161322.73884482653,1.1385891360198254e+46,294814000000.0001,780975.0558280292,2.4031416646851142e+44
159,76360220282735.89,161322.73884482653,1.1131022574400576e+46,4860716923292.736,403236.7181251849,5.853252462334799e+41
160,76360220282735.89,161322.73884482653,1.0428771024244033e+46,2137710128460.7974,519965.2706590242,1.7275445541972453e+42
161,76360220282735.89,161322.73884482653,1.2266977570827033e+46,3817450492069.5947,446401.63624961453,7.476635180939605e+41
162,97228612595164.75,145723.5961706453,1.5782272992890722e+46,3146530027665.9917,494187.1905238273,1.2246501167610289e+42
163,88272072274946.83,153324.9152896095,1.2625601663314446e+46,5101356948466.366,383245.63598981337,8.110717579911193e+41
164,72758173706358.38,161322.73884482653,1.1310614606724387e+46,4204788733616.2495,446401.63624961453,5.3263875118996786e+41
165,84108122582942.3,153324.9152896095,1.4540458334288009e+46,5618966969611.556,383245.63598981337,2.5267151163391625e+41
166,117960232933157.75,131632.81650785255,1.7222634022056825e+46,4204788733616.2495,446401.63624961453,1.958269185499826e+41
167,112395840221712.94,131632.81650785255,1.5161342571768196e+46,3302305621475.7617,519965.2706590242,1.8690567891055377e+42
168,84108122582942.3,153324.9152896095,1.3256583525207956e+46,5101356948466.366,424270.586733286,8.159227084232045e+42
169,54446440196842.65,178591.7089084208,7.007821099331084e+45,2721922345840.4185,575625.5251117854,1.6141296908545003e+42
170,54446440196842.65,178591.7089084208,6.151239608360391e+45,2471183323773.634,547088.0020280032,1.571392134938083e+42
171,143112363554767.2,118904.54831693473,1.221906590364945e+46,1086809559964.1991,519965.2706590242,3.725868154498003e+41
172,69326042034500.164,161322.73884482653,9.707467108820397e+45,3817450492069.5947,403236.7181251849,1.696262398747305e+43
173,123800102621206.38,125106.91663753909,1.3172670347792051e+46,3302305621475.7617,469687.09846389916,3.672891526934566e+41
174,92642167063347.3,145723.5961706453,1.3015562599251328e+46,4204788733616.2495,424270.586733286,3.513629611967073e+41
175,143112363554767.2,118904.54831693473,1.3955401150235487e+46,2471183323773.634,519965.2706590242,2.0180531647046777e+41
176,102042119769462.38,138499.1241690537,1.4497710944574495e+46,1678888672304.4734,469687.09846389916,4.3331716954122404e+43
177,182223368425650.75,107407.04320955441,1.3641605291012912e+46,703533854932.9159,469687.09846389916,8.266256660916475e+42
178,69326042034500.164,161322.73884482653,1.1797629874189535e+46,5101356948466.366,446401.63624961453,7.795187019328765e+41
179,150197442425220.62,113009.67197054223,1.0151263509926134e+46,1940787777648.095,446401.63624961453,1.1207196131228347e+41
180,51878105365161.914,178591.7089084208,7.429939651745382e+45,3465793214031.2837,469687.09846389916,1.0510371082001881e+42
181,59970857199271.62,169737.74953169507,9.071732786163435e+45,4412955652750.838,469687.09846389916,1.0412512477335465e+42
182,165437250604697.38,107407.04320955441,9.739404857462164e+45,1678888672304.4734,469687.09846389916,1.0526709089751331e+41
183,59970857199271.62,169737.74953169507,8.214282421184819e+45,2998102643988.239,494187.1905238273,1.402429287768934e+42
184,173627570011984.6,107407.04320955441,1.1790597643909633e+46,433941483097.26434,519965.2706590242,1.3413927424162302e+43
185,173627570011984.6,107407.04320955441,1.0545524489666723e+46,294814000000.0001,469687.09846389916,3.0419972852127304e+42
186,123800102621206.38,125106.91663753909,1.3838999896666546e+46,2593524457113.837,547088.0020280032,8.253980014886424e+41
187,143112363554767.2,118904.54831693473,1.4010220918514604e+46,2998102643988.239,469687.09846389916,6.933629627380403e+41
188,173627570011984.6,107407.04320955441,1.0774855762640765e+46,2243541969163.485,494187.1905238273,3.874509155036294e+41
189,173627570011984.6,107407.04320955441,1.0661567442485185e+46,895801771859.4875,494187.1905238273,3.97891947712828e+40
190,191244719937613.97,102082.17340924787,8.536822479741832e+45,357675864992.086,494187.1905238273,8.2984608571467e+39
191,157633283042274.84,113009.67197054223,1.2395070652623642e+46,2721922345840.4185,494187.1905238273,2.5572886843367677e+41
192,157633283042274.84,113009.67197054223,1.2145180781104144e+46,1678888672304.4734,575625.5251117854,7.757690669216695e+40
193,62939840749200.71,169737.74953169507,9.01186870883669e+45,3637374604067.49,469687.09846389916,1.2030597562471553e+42
194,84108122582942.3,145723.5961706453,1.1997469380257385e+46,4204788733616.2495,519965.2706590242,1.0642292540268168e+42
195,76360220282735.89,153324.9152896095,1.0730631540412658e+46,1678888672304.4734,705458.4770241169,1.5476710061591773e+42
196,182223368425650.75,102082.17340924787,9.729798376076896e+45,670346919325.0374,705458.4770241169,1.7989040644988616e+41
197,123800102621206.38,125106.91663753909,1.439732991775717e+46,3302305621475.7617,519965.2706590242,1.0941421897342907e+42
198,97228612595164.75,138499.1241690537,1.3973992346270007e+46,4412955652750.838,469687.09846389916,9.714504198752323e+41
199,84108122582942.3,153324.9152896095,1.389512705300502e+46,6495500623434.282,403236.7181251849,2.536310381824299e+41
200,72758173706358.38,161322.73884482653,1.1472832288567748e+46,3146530027665.9917,469687.09846389916,5.0072490661614146e+41
201,84108122582942.3,153324.9152896095,1.2457359999366444e+46,477971426994.6946,742257.0130879642,5.63928604705838e+44
202,66055810080747.76,169737.74953169507,5.762687080920306e+45,3637374604067.49,446401.63624961453,6.200836566168956e+41
203,157633283042274.84,113009.67197054223,1.3802917969009056e+46,1678888672304.4734,547088.0020280032,1.9546167866140336e+41
204,191244719937613.97,102082.17340924787,1.0258613623795516e+46,738363779660.7452,547088.0020280032,3.9057219140772546e+40
205,191244719937613.97,102082.17340924787,1.0251130619704266e+46,309409387779.43896,547088.0020280032,2.2800305664096895e+40
206,72758173706358.38,161322.73884482653,9.900856951020012e+45,4412955652750.838,403236.7181251849,2.958275339939075e+41
207,112395840221712.94,131632.81650785255,1.5302817834574308e+46,3637374604067.49,494187.1905238273,6.2382001724556996e+41
208,80140593758723.81,153324.9152896095,1.1539755676045345e+46,3302305621475.7617,446401.63624961453,3.7474670984370905e+41
209,62939840749200.71,169737.74953169507,6.903324315606568e+45,5618966969611.556,364245.642579698,1.9738276169965235e+41
210,62939840749200.71,169737.74953169507,5.996159598528396e+45,7508769597190.191,346187.603142919,1.1337503410386651e+41
211,62939840749200.71,169737.74953169507,7.376728649552184e+45,7880507045267.491,329024.8188586541,5.607449711620988e+40
212,59970857199271.62,169737.74953169507,6.020999250287598e+45,8680103987716.662,329024.8188586541,1.0138508988436162e+41
213,69326042034500.164,161322.73884482653,8.378860687929444e+45,7880507045267.491,346187.603142919,4.899694133012849e+40
214,69326042034500.164,161322.73884482653,7.221997787471236e+45,6495500623434.282,346187.603142919,1.007095720813551e+41
215,66055810080747.76,161322.73884482653,7.022961441271377e+45,2593524457113.837,494187.1905238273,5.5862538357718185e+41
216,182223368425650.75,102082.17340924787,9.68664077131263e+45,1035542831815.0599,494187.1905238273,5.422157997654509e+40
217,88272072274946.83,145723.5961706453,1.1913197214824221e+46,4860716923292.736,403236.7181251849,2.4691013753039682e+41
218,97228612595164.75,138499.1241690537,1.1060783895537356e+46,6495500623434.282,346187.603142919,7.692061065088665e+40
219,112395840221712.94,131632.81650785255,1.3109998639804346e+46,8680103987716.662,346187.603142919,1.1412252768685988e+40
220,69326042034500.164,161322.73884482653,7.993605485004551e+45,7154567661676.926,346187.603142919,1.6570678924629184e+40
221,84108122582942.3,145723.5961706453,1.1029243779649521e+46,2243541969163.485,547088.0020280032,1.4147566158149093e+42
222,69326042034500.164,161322.73884482653,7.638925899809202e+45,3146530027665.9917,446401.63624961453,5.501026426516203e+41
223,62939840749200.71,169737.74953169507,5.180535411074008e+45,5353910364736.312,364245.642579698,2.3270790092068084e+41
224,54446440196842.65,178591.7089084208,4.9616011435400916e+45,6495500623434.282,364245.642579698,8.106587919193411e+40
225,59970857199271.62,169737.74953169507,5.477881558544061e+45,3637374604067.49,403236.7181251849,4.939266170497735e+41
226,59970857199271.62,169737.74953169507,4.8208820742741994e+45,2354613237961.394,469687.09846389916,7.078814212428647e+41
227,51878105365161.914,178591.7089084208,5.130016535778629e+45,2998102643988.239,494187.1905238273,8.233242722167802e+41
228,66055810080747.76,161322.73884482653,8.107259722357325e+45,4412955652750.838,446401.63624961453,3.219630337328534e+41
229,57141925851808.195,169737.74953169507,6.867198741109342e+45,5101356948466.366,446401.63624961453,5.849275668382266e+41
230,57141925851808.195,169737.74953169507,5.071004585825146e+45,4412955652750.838,424270.586733286,3.911154198787658e+41
231,84108122582942.3,145723.5961706453,8.459828184178003e+45,8270648138377.99,346187.603142919,5.819913821568537e+40
232,76360220282735.89,153324.9152896095,9.25324650712808e+45,5101356948466.366,424270.586733286,3.3121277391935293e+41
233,57141925851808.195,169737.74953169507,5.798744178357769e+45,4204788733616.2495,446401.63624961453,7.024259309577766e+41
234,80140593758723.81,145723.5961706453,9.460605367870961e+45,4631428313497.515,494187.1905238273,1.1638403440496935e+42
235,69326042034500.164,153324.9152896095,7.844984576913093e+45,3465793214031.2837,519965.2706590242,1.4085722956890472e+42
236,66055810080747.76,161322.73884482653,6.124883500861469e+45,1318545080769.1057,494187.1905238273,5.4732748624609435e+41
237,66055810080747.76,161322.73884482653,4.6997153866837924e+45,2721922345840.4185,364245.642579698,6.402711170035747e+41
238,62939840749200.71,161322.73884482653,4.679746451587419e+45,4204788733616.2495,383245.63598981337,8.687767419148853e+40
239,66055810080747.76,161322.73884482653,7.015959854288273e+45,5101356948466.366,383245.63598981337,7.504954972839598e+40
