Spec_File,OptUV_Radius,OptUV_Temperature,OptUV_ChiSquare,SoftX_Radius,SoftX_Temperature,SoftX_ChiSquare
0150,255565221589118.44,161461.40010351967,1.975708659811373e+43,2721922345840.4185,705458.4770241169,4.845785930677317e+42
0151,232022972548302.62,169883.6437197453,1.8008299301766957e+43,3146530027665.9917,670484.28513293,1.6765045769749386e+43
0152,232022972548302.62,169883.6437197453,1.81104128070026e+43,2354613237961.394,742257.0130879642,1.4533179545530515e+43
0153,281496188797849.3,169883.6437197453,2.666875954707156e+43,2856676842380.816,605651.6391000265,7.827853609308593e+42
0154,310058245855970.3,161461.40010351967,3.230262996506335e+43,1086809559964.1991,637243.9927387064,2.382776684876331e+43
0155,310058245855970.3,169883.6437197453,3.3018810869236767e+43,477971426994.6946,605651.6391000265,3.4513186988592776e+43
0156,243509758311803.9,161461.40010351967,1.866567595817493e+43,2721922345840.4185,670484.28513293,1.0419457418303505e+43
0157,295432250294043.8,161461.40010351967,2.8098050100228462e+43,940150324620.8816,637243.9927387064,8.776913528150849e+41
0158,191244719937613.97,161461.40010351967,1.2253859939492122e+43,2856676842380.816,637243.9927387064,1.2393998290291334e+43
0159,191244719937613.97,161461.40010351967,1.1015766156061737e+43,2721922345840.4185,637243.9927387064,1.4433789615091753e+43
0160,255565221589118.44,161461.40010351967,2.088794966603544e+43,2998102643988.239,670484.28513293,2.636618367241691e+42
0161,310058245855970.3,161461.40010351967,3.1444497377491346e+43,1524232201484.8955,742257.0130879642,4.7640525123336975e+42
0162,325408332122161.44,161461.40010351967,3.553894199140667e+43,1035542831815.0599,637243.9927387064,3.679228046915607e+42
0163,295432250294043.8,161461.40010351967,3.0434531978110473e+43,1452331474082.144,637243.9927387064,4.7713410075911025e+42
0164,295432250294043.8,161461.40010351967,3.0806778081818367e+43,1678888672304.4734,705458.4770241169,3.393298610270863e+42
0165,295432250294043.8,161461.40010351967,3.0931211039147337e+43,738363779660.7452,864575.389891787,4.880661499212952e+42
0166,295432250294043.8,161461.40010351967,3.073771826350581e+43,413471696240.29694,742257.0130879642,6.295920979665819e+42
0167,255565221589118.44,169883.6437197453,2.529389873992931e+43,1940787777648.095,780975.0558280292,2.2391496466447972e+42
0168,295432250294043.8,161461.40010351967,3.06856885072696e+43,1035542831815.0599,742257.0130879642,2.5690092104380245e+42
0169,232022972548302.62,169883.6437197453,2.0642271808515514e+43,3817450492069.5947,605651.6391000265,5.2146066028763905e+42
0170,268217515957878.8,169883.6437197453,2.80275292436419e+43,1849237387352.3691,742257.0130879642,1.5587119421321732e+42
0171,295432250294043.8,161461.40010351967,3.3478892177078154e+43,1197082870574.8118,705458.4770241169,2.0585052201923937e+42
0172,310058245855970.3,161461.40010351967,3.4528504455765116e+43,703533854932.9159,605651.6391000265,1.8593920655600894e+42
0173,310058245855970.3,161461.40010351967,3.304565898484366e+43,1140614355428.725,547088.0020280032,4.681746710871095e+43
0174,221078038775011.3,169883.6437197453,1.7874549747239722e+43,3302305621475.7617,670484.28513293,1.0644065060347866e+43
0175,255565221589118.44,161461.40010351967,2.1459635005515127e+43,1762005590804.9211,705458.4770241169,8.555704296571282e+42
0176,281496188797849.3,161461.40010351967,2.861870347611656e+43,552532826553.0702,670484.28513293,1.5635108976012344e+42
0177,325408332122161.44,161461.40010351967,3.7611168374877245e+43,895801771859.4875,519965.2706590242,3.307439989195158e+42
0178,232022972548302.62,161461.40010351967,1.9058008657527378e+43,3302305621475.7617,670484.28513293,2.381510157669579e+43
0179,325408332122161.44,161461.40010351967,3.6977282238213523e+43,1256346978453.5527,637243.9927387064,4.3567768538726186e+42
0180,221078038775011.3,169883.6437197453,1.8699355199186074e+43,2721922345840.4185,670484.28513293,1.6259289643624048e+43
0181,221078038775011.3,161461.40010351967,1.7446804147254258e+43,2721922345840.4185,705458.4770241169,2.361851098440512e+43
0182,232022972548302.62,161461.40010351967,1.949081623317013e+43,3637374604067.49,605651.6391000265,5.810898728442905e+42
0183,310058245855970.3,161461.40010351967,3.6358746998303996e+43,1383822431093.3665,742257.0130879642,3.808192809559196e+42
0184,268217515957878.8,169883.6437197453,2.952510827072723e+43,3146530027665.9917,605651.6391000265,9.102637089276154e+42
0185,310058245855970.3,161461.40010351967,3.615271298893312e+43,2243541969163.485,670484.28513293,2.964485695343818e+42
0186,310058245855970.3,161461.40010351967,3.770894177734538e+43,1762005590804.9211,742257.0130879642,3.4231117932207475e+42
0187,310058245855970.3,169883.6437197453,3.8662879479654453e+43,853545218728.9185,670484.28513293,5.26652837841757e+42
0188,310058245855970.3,161461.40010351967,3.542148987416357e+43,1140614355428.725,780975.0558280292,3.5106471997337994e+42
0189,310058245855970.3,161461.40010351967,3.5296056522176605e+43,853545218728.9185,637243.9927387064,1.1552778769418638e+43
0190,310058245855970.3,161461.40010351967,3.4767328005443393e+43,1383822431093.3665,742257.0130879642,3.267922117914614e+42
0191,268217515957878.8,169883.6437197453,2.9189854763317437e+43,2856676842380.816,670484.28513293,9.32575703216211e+42
0192,268217515957878.8,161461.40010351967,2.8712394315751175e+43,2856676842380.816,705458.4770241169,4.139422197584288e+42
0193,310058245855970.3,169883.6437197453,3.8436106340951547e+43,1086809559964.1991,670484.28513293,3.2372144311903196e+42
