Spec_File,OptUV_Radius_cm,OptUV_Temperature_K,OptUV_ChiSquare,SoftX_Radius_cm,SoftX_Temperature_K,SoftX_ChiSquare
0150,583078673689622.1,48094.56461168163,5.124534502453093e+40,2891979376341.5117,691913.6638317006,5.965759844597198e+42
0151,564625251267719.1,45535.93517173839,2.79141680048322e+40,2891979376341.5117,691913.6638317006,1.4115672064404708e+43
0152,546755847460193.56,48094.56461168163,4.753090895452821e+40,2309017203911.472,740366.0134130177,1.3852059324063125e+43
0153,707177313041143.1,44308.126953854226,1.3545379219412501e+41,3184899793878.313,584205.2955044999,2.5627562675628466e+42
0154,754157475712119.9,45535.93517173839,1.2899026304028201e+41,1033369546729.8458,646632.2190966592,2.3307669870032073e+43
0155,778805304410367.5,44308.126953854226,1.7578746031052695e+41,462470620963.63354,625115.1960956908,9.521009593607383e+42
0156,583078673689622.1,45535.93517173839,1.3799926366806894e+40,3084103273751.8486,646632.2190966592,6.183611276751035e+42
0157,730289707776296.1,44308.126953854226,1.6604588975587796e+41,879875767023.7208,646632.2190966592,7.74719729854755e+41
0158,465542285604540.44,45535.93517173839,4.753320090001207e+40,2986496787575.317,625115.1960956908,9.538979128238366e+42
0159,465542285604540.44,44308.126953854226,7.958652736289303e+40,2625999326339.922,646632.2190966592,1.1453705302699086e+43
0160,621814547189458.4,44308.126953854226,1.1092985930924888e+41,2986496787575.317,668889.877234506,2.33613335851072e+42
0161,730289707776296.1,45535.93517173839,5.579929671156807e+40,1425359001572.086,765850.0724140495,1.62825989747627e+42
0162,778805304410367.5,45535.93517173839,8.442161916220023e+40,968995896705.6782,646632.2190966592,3.517953743530552e+42
0163,730289707776296.1,44308.126953854226,1.308081130246951e+41,1569729586402.6428,625115.1960956908,3.953301092322497e+42
0164,730289707776296.1,43113.424743658674,1.0105516949462934e+41,1569729586402.6428,715729.9497136263,1.1907608932548846e+42
0165,707177313041143.1,45535.93517173839,1.599605675393092e+41,702511331852.1321,876865.3157700199,3.9910645796020247e+42
0166,707177313041143.1,45535.93517173839,1.5956212556961551e+41,462470620963.63354,715729.9497136263,6.215369494284254e+42
0167,642137064614263.0,44308.126953854226,6.309268940272519e+40,1843567935364.6787,792211.3154718872,3.571018731424591e+42
0168,730289707776296.1,43113.424743658674,1.3038718293057133e+41,1067142752446.2457,740366.0134130177,2.6874516059842838e+42
0169,564625251267719.1,45535.93517173839,9.717918164021406e+40,3862752970003.271,604314.1632126757,5.4834875246387795e+42
0170,663123774789698.0,45535.93517173839,1.1291900613372936e+41,1843567935364.6787,740366.0134130177,1.9840876042777394e+42
0171,754157475712119.9,43113.424743658674,1.6000166374835928e+41,1253305141158.283,691913.6638317006,1.046190463574346e+42
0172,730289707776296.1,46797.76678721456,1.916677497114092e+41,702511331852.1321,604314.1632126757,1.7698840211711695e+42
0173,754157475712119.9,44308.126953854226,1.2038483476819546e+41,12294302918085.78,328633.3764141353,6.2061395307341434e+41
0174,529451979097141.0,46797.76678721456,5.855610157742655e+40,3396483377864.7783,668889.877234506,1.266820687652487e+43
0175,621814547189458.4,44308.126953854226,1.1671092020964238e+41,1674011991902.1965,715729.9497136263,6.782235153975164e+42
0176,684796385263151.5,45535.93517173839,7.710390374705126e+40,493194096678.63446,691913.6638317006,1.2883927305724242e+42
0177,804258688286553.2,44308.126953854226,3.326598224599968e+40,968995896705.6782,510242.17724234634,3.307479900054395e+42
