Spec_File,OptUV_Radius_cm,OptUV_Temperature_K,OptUV_ChiSquare,SoftX_Radius_cm,SoftX_Temperature_K,SoftX_ChiSquare
0150,804258688286553.2,41950.93588729162,9.616623350357625e+40,5502149664498.068,460982.5695836015,3.424915993418158e+41
0151,663123774789698.0,39719.147316981514,7.165012339634846e+40,6461996247578.049,445643.1351108912,8.76842604843038e+41
0152,684796385263151.5,40819.79179996614,2.4948299427018795e+40,4393032100351.1543,527805.1684035911,2.0951555586324277e+42
0153,684796385263151.5,41950.93588729162,1.5773206692214802e+41,15398270062851.605,351646.4488109529,2.1077482085442198e+42
0154,684796385263151.5,39719.147316981514,6.13738368335904e+40,5328016230076.534,445643.1351108912,3.624520253391393e+42
0155,621814547189458.4,43113.424743658674,2.8780972746874957e+41,3988997788326.376,510242.17724234634,1.83411268917993e+42
0156,564625251267719.1,43113.424743658674,1.8154004652485645e+41,5681974232668.811,430814.1282887437,8.80219222733835e+41
0157,546755847460193.56,43113.424743658674,1.5322934453451088e+41,6673191099699.122,416478.5643719295,6.0026493801447195e+41
0158,602135201973896.6,43113.424743658674,2.3088706190699656e+41,6059446853495.872,430814.1282887437,3.807369625621356e+41
0159,583078673689622.1,41950.93588729162,8.810430291595606e+40,7837325132005.645,402620.02379144216,2.1136804999495136e+41
0160,914667404844720.1,40819.79179996614,4.108371208997199e+41,3396483377864.7783,402620.02379144216,4.687273474014738e+40
0161,684796385263151.5,39719.147316981514,2.59034608356479e+40,8093469310810.928,402620.02379144216,1.908719280447202e+41
0162,564625251267719.1,43113.424743658674,2.4584355618336905e+41,8631145644288.462,389222.6333479636,1.223618063141497e+41
0163,546755847460193.56,43113.424743658674,1.4570997040550348e+41,7589287469431.688,402620.02379144216,1.461392790123466e+41
0164,583078673689622.1,40819.79179996614,4.2494233506621285e+40,6461996247578.049,430814.1282887437,3.50029838584624e+41
0165,480757418884944.3,40819.79179996614,2.9488661258203226e+40,6461996247578.049,430814.1282887437,3.452679883566144e+41
0166,830543954980019.4,41950.93588729162,3.0018149496842917e+41,2462412967391.7036,445643.1351108912,9.193111613897768e+40
0167,546755847460193.56,39719.147316981514,6.344038886975875e+40,8093469310810.928,402620.02379144216,1.5426668213180225e+41
0168,496469822312222.06,40819.79179996614,1.1737489416232956e+40,6461996247578.049,445643.1351108912,1.2798757957592995e+42
0169,583078673689622.1,41950.93588729162,2.1836218416520653e+41,7116513584197.631,445643.1351108912,5.290846774135982e+41
0170,496469822312222.06,41950.93588729162,6.683675983750418e+40,4996108004985.691,476850.00108219223,1.6489950961807102e+42
0171,684796385263151.5,39719.147316981514,2.3660125969201386e+40,5328016230076.534,476850.00108219223,1.4416053998398754e+41
0172,512695747968727.56,40819.79179996614,5.375030157045107e+40,5502149664498.068,476850.00108219223,1.0487958116681696e+42
0173,480757418884944.3,41950.93588729162,7.710592013102479e+40,4837989905933.884,493263.6037355609,1.381810851004393e+42
0174,496469822312222.06,41950.93588729162,5.72920926947395e+40,4837989905933.884,493263.6037355609,2.175278300250565e+42
0175,480757418884944.3,43113.424743658674,1.4510758786632636e+41,3622123169553.179,564765.5608154068,4.343919232718225e+42
0176,730289707776296.1,41950.93588729162,6.442103602229097e+40,2165177213798.77,604314.1632126757,2.003080864784615e+41
0177,707177313041143.1,41950.93588729162,5.102214226997736e+40,6673191099699.122,416478.5643719295,7.787909792154071e+41
0178,529451979097141.0,41950.93588729162,1.3650858448891609e+40,3396483377864.7783,545972.6933965883,2.3760461006554147e+42
0179,480757418884944.3,41950.93588729162,1.962027508023115e+40,5328016230076.534,445643.1351108912,6.705226970430851e+41
0180,583078673689622.1,41950.93588729162,2.8008418155693463e+40,4684875968766.25,493263.6037355609,9.182029745050484e+41
0181,512695747968727.56,44308.126953854226,6.750801578361933e+40,5328016230076.534,476850.00108219223,7.96860488017684e+41
0182,663123774789698.0,41950.93588729162,2.858735883669751e+40,2800453276219.6113,564765.5608154068,1.5281606946839525e+42
0183,546755847460193.56,41950.93588729162,6.003201822889374e+40,3622123169553.179,493263.6037355609,3.526291901506729e+42
0184,754157475712119.9,43113.424743658674,1.3341088386335524e+41,879875767023.7208,646632.2190966592,1.0355244615398157e+42
0185,621814547189458.4,44308.126953854226,1.3709648559177128e+41,5867675935648.598,460982.5695836015,2.2538644010134882e+41
0186,684796385263151.5,40819.79179996614,9.421085076150236e+40,3507489292637.443,584205.2955044999,2.4157541917819196e+42
0187,546755847460193.56,44308.126953854226,1.1146369775113252e+41,3740503579855.1514,564765.5608154068,4.952921177749523e+42
0188,546755847460193.56,43113.424743658674,1.3451152377253718e+41,5502149664498.068,476850.00108219223,1.043990226645187e+42
0189,546755847460193.56,41950.93588729162,3.55267755773176e+40,3988997788326.376,564765.5608154068,2.1952220774414778e+42
0190,621814547189458.4,40819.79179996614,6.769949555492419e+40,10810268176087.229,389222.6333479636,1.6292416624391477e+42
0191,529451979097141.0,40819.79179996614,7.889493454152112e+40,3507489292637.443,545972.6933965883,3.1765487074162594e+42
0192,583078673689622.1,44308.126953854226,1.4632438916730746e+41,4254000301181.0786,510242.17724234634,8.02366283363245e+41
0193,684796385263151.5,43113.424743658674,1.7250328507628698e+41,1380248876736.9033,625115.1960956908,6.730259582275247e+41
0194,663123774789698.0,41950.93588729162,6.255811595043799e+40,543148332835.2403,604314.1632126757,2.210460888464063e+41
0195,529451979097141.0,41950.93588729162,2.4612873937293994e+40,11905209686987.71,376271.0480311265,8.848858083022102e+41
0196,529451979097141.0,40819.79179996614,3.921327823257059e+40,2711823817433.4067,625115.1960956908,8.359034142628739e+42
0197,512695747968727.56,40819.79179996614,9.87869911160368e+40,4393032100351.1543,527805.1684035911,2.891816425504937e+42
0198,465542285604540.44,43113.424743658674,7.780889244449099e+40,5159393814953.366,476850.00108219223,2.2913977641764362e+42
0199,422725603917276.94,44308.126953854226,8.95953895630253e+40,5502149664498.068,460982.5695836015,8.324685614102935e+41
0200,465542285604540.44,43113.424743658674,7.318023930322108e+40,10468142054606.785,389222.6333479636,2.6711388070350917e+42
0201,496469822312222.06,43113.424743658674,1.2178576398936836e+41,4393032100351.1543,545972.6933965883,2.232999014110524e+42
0202,496469822312222.06,41950.93588729162,4.1427828354749645e+40,4996108004985.691,476850.00108219223,1.6297899464363994e+42
0203,422725603917276.94,41950.93588729162,9.183431427322088e+39,4996108004985.691,476850.00108219223,1.1549221759740027e+42
0204,383846842129873.5,43113.424743658674,3.6430124593823557e+40,4393032100351.1543,493263.6037355609,2.0370569204551148e+42
0205,396391955737937.4,41950.93588729162,9.864321783333019e+39,3622123169553.179,527805.1684035911,2.5185525164869393e+42
0206,409347076302336.4,43113.424743658674,8.550122453111767e+40,6673191099699.122,445643.1351108912,1.4404646761568767e+42
