Spec_File,OptUV_Radius,OptUV_Temperature,OptUV_ChiSquare,SoftX_Radius,SoftX_Temperature,SoftX_ChiSquare
0150,173627570011984.6,169883.6437197453,1.25548177116595e+43,4006441416043.9155,446401.63624961453,6.706521141397684e+41
0151,165437250604697.38,169883.6437197453,1.1106900230001512e+43,3302305621475.7617,403236.7181251849,8.418520716287156e+42
0152,157633283042274.84,161461.40010351967,9.222262445149606e+42,2471183323773.634,519965.2706590242,1.3348809321612639e+42
0153,157633283042274.84,169883.6437197453,1.0470664432048504e+43,4860716923292.736,446401.63624961453,9.898187621520955e+41
0154,165437250604697.38,161461.40010351967,1.1070344250533333e+43,5618966969611.556,383245.63598981337,3.4723915508722234e+41
0155,143112363554767.2,169883.6437197453,8.305670481172438e+42,4860716923292.736,424270.586733286,2.363748809763959e+41
0156,281496188797849.3,161461.40010351967,3.2279169217608993e+43,2036870562768.1086,424270.586733286,2.8952728831487302e+40
0157,182223368425650.75,161461.40010351967,1.281440386267819e+43,1197082870574.8118,637243.9927387064,7.999800933734238e+42
0158,173627570011984.6,161461.40010351967,1.1420941809135399e+43,294814000000.0001,780975.0558280292,2.4031416646851142e+44
0159,173627570011984.6,161461.40010351967,1.197155156710569e+43,4860716923292.736,403236.7181251849,5.853252462334799e+41
0160,165437250604697.38,169883.6437197453,1.0982446225862371e+43,2137710128460.7974,519965.2706590242,1.7275445541972453e+42
0161,173627570011984.6,169883.6437197453,1.229129452054462e+43,3817450492069.5947,446401.63624961453,7.476635180939605e+41
0162,200712692449977.34,161461.40010351967,1.676828949027377e+43,3146530027665.9917,494187.1905238273,1.2246501167610289e+42
0163,182223368425650.75,169883.6437197453,1.4010531970971945e+43,5101356948466.366,383245.63598981337,8.110717579911193e+41
0164,165437250604697.38,161461.40010351967,1.1449320922639024e+43,4204788733616.2495,446401.63624961453,5.3263875118996786e+41
0165,191244719937613.97,161461.40010351967,1.5144355826151384e+43,5618966969611.556,383245.63598981337,2.5267151163391625e+41
0166,221078038775011.3,169883.6437197453,2.1756052539551222e+43,4204788733616.2495,446401.63624961453,1.958269185499826e+41
0167,210649396875692.94,161461.40010351967,1.9421928928125887e+43,3302305621475.7617,519965.2706590242,1.8690567891055377e+42
0168,191244719937613.97,161461.40010351967,1.5621664743608885e+43,5101356948466.366,424270.586733286,8.159227084232045e+42
0169,136361500379267.78,169883.6437197453,8.35139596129881e+42,2721922345840.4185,575625.5251117854,1.6141296908545003e+42
0170,136361500379267.78,161461.40010351967,7.521150084368378e+42,2471183323773.634,547088.0020280032,1.571392134938083e+42
0171,232022972548302.62,161461.40010351967,2.3832169269331767e+43,1086809559964.1991,519965.2706590242,3.725868154498003e+41
0172,157633283042274.84,169883.6437197453,1.2321626701997043e+43,3817450492069.5947,403236.7181251849,1.696262398747305e+43
0173,221078038775011.3,161461.40010351967,2.297861635826241e+43,3302305621475.7617,469687.09846389916,3.672891526934566e+41
0174,191244719937613.97,161461.40010351967,1.814014403558328e+43,4204788733616.2495,424270.586733286,3.513629611967073e+41
0175,232022972548302.62,169883.6437197453,2.997539632006219e+43,2471183323773.634,519965.2706590242,2.0180531647046777e+41
0176,210649396875692.94,161461.40010351967,2.3219705179627944e+43,1678888672304.4734,469687.09846389916,4.3331716954122404e+43
0177,255565221589118.44,169883.6437197453,3.799318945059353e+43,703533854932.9159,469687.09846389916,8.266256660916475e+42
0178,165437250604697.38,169883.6437197453,1.5383929809594844e+43,5101356948466.366,446401.63624961453,7.795187019328765e+41
