Spec_File,OptUV_Radius_cm,OptUV_Temperature_K,OptUV_ChiSquare,SoftX_Radius_cm,SoftX_Temperature_K,SoftX_ChiSquare
0150,436541376626919.4,44308.126953854226,6.547137582446945e+40,4119368615813.722,445643.1351108912,2.3933790270125176e+41
0151,436541376626919.4,41950.93588729162,6.092169006036769e+40,14439036407146.86,307126.36643578357,4.257057679799061e+41
0152,396391955737937.4,43113.424743658674,1.8990006821908015e+40,2384481894425.3154,527805.1684035911,7.887503906766934e+41
0153,409347076302336.4,41950.93588729162,6.316118139804931e+40,4254000301181.0786,460982.5695836015,4.5126878288700336e+41
0154,409347076302336.4,44308.126953854226,3.1866325309460106e+40,6257485343945.197,376271.0480311265,1.978820060882878e+41
0155,359935142432174.0,44308.126953854226,2.0083314245096508e+40,4536607820492.515,430814.1282887437,3.1203179926339653e+41
0156,707177313041143.1,43113.424743658674,1.2769315974197783e+41,1903820532637.6072,430814.1282887437,3.5956036659617337e+40
0157,450808684738713.25,43113.424743658674,2.0448799315448276e+40,1102019754406.6584,646632.2190966592,7.719097039145965e+42
0158,436541376626919.4,43113.424743658674,4.299874475777344e+40,314399483615.30316,740366.0134130177,9.923929935361706e+36
0159,450808684738713.25,41950.93588729162,5.714758068284e+40,4837989905933.884,402620.02379144216,4.414640914046251e+41
0160,422725603917276.94,43113.424743658674,3.903192784957287e+40,2309017203911.472,510242.17724234634,1.817762040330313e+42
0161,436541376626919.4,44308.126953854226,3.54965884770105e+40,3862752970003.271,445643.1351108912,7.974361874606162e+41
0162,496469822312222.06,44308.126953854226,5.662006596758102e+40,3184899793878.313,493263.6037355609,1.1432440094093641e+42
0163,465542285604540.44,43113.424743658674,1.9248568943549558e+40,4837989905933.884,389222.6333479636,7.15012222816987e+41
0164,409347076302336.4,44308.126953854226,4.0461981482901667e+40,4254000301181.0786,445643.1351108912,5.659103034836922e+41
0165,480757418884944.3,43113.424743658674,3.448794575417318e+40,6257485343945.197,376271.0480311265,3.0341925882615508e+41
0166,564625251267719.1,43113.424743658674,9.5163337217719e+40,4996108004985.691,430814.1282887437,1.7286142632078561e+41
0167,546755847460193.56,41950.93588729162,6.630168609772851e+40,3184899793878.313,527805.1684035911,3.2780523732996126e+41
0168,496469822312222.06,40819.79179996614,5.41080007005421e+40,7837325132005.645,389222.6333479636,4.405779321387271e+41
0169,348543823340088.1,43113.424743658674,2.439450522644626e+40,2542891030606.955,584205.2955044999,8.067666282084607e+41
0170,348543823340088.1,41950.93588729162,2.2161882470410007e+40,2462412967391.7036,545972.6933965883,1.618005299636557e+42
0171,564625251267719.1,44308.126953854226,2.9896572938015366e+41,1033369546729.8458,527805.1684035911,2.616681873802253e+41
0172,409347076302336.4,43113.424743658674,1.4159965934787792e+41,7589287469431.688,351646.4488109529,2.973595864988241e+42
0173,546755847460193.56,43113.424743658674,2.4176522054690652e+41,3622123169553.179,460982.5695836015,5.012285835631346e+40
0174,480757418884944.3,43113.424743658674,2.334947315466475e+41,4684875968766.25,416478.5643719295,2.0931300017192452e+41
0175,621814547189458.4,40819.79179996614,1.4904414122011434e+41,2711823817433.4067,510242.17724234634,2.5151559228350973e+41
0176,564625251267719.1,39719.147316981514,8.212854354224578e+40,9204541621404.6,328633.3764141353,4.1901653478999016e+42
0177,707177313041143.1,39719.147316981514,1.1800940280475369e+41,3988997788326.376,328633.3764141353,8.707949749540698e+41
0178,436541376626919.4,41950.93588729162,2.5356199568279388e+41,4393032100351.1543,460982.5695836015,4.865944838316585e+41
0179,602135201973896.6,40819.79179996614,1.6945505212097823e+41,1674011991902.1965,460982.5695836015,8.131889353581638e+40
0180,359935142432174.0,40819.79179996614,3.3328830347692973e+40,3862752970003.271,460982.5695836015,8.338501678599872e+41
0181,396391955737937.4,40819.79179996614,6.370453541489664e+40,4119368615813.722,476850.00108219223,7.249543574013203e+41
0182,621814547189458.4,39719.147316981514,8.13831664226603e+40,1569729586402.6428,476850.00108219223,7.022839322974075e+40
0183,396391955737937.4,39719.147316981514,5.152423866472879e+40,2986496787575.317,493263.6037355609,1.17015393473598e+42
0184,621814547189458.4,43113.424743658674,4.629828241680915e+41,938328867685.6477,430814.1282887437,1.1134389557063288e+42
0185,642137064614263.0,41950.93588729162,1.7031100487211733e+41,294814000000.0001,445643.1351108912,5.127889543720763e+39
0186,564625251267719.1,40819.79179996614,3.771152120237003e+41,2625999326339.922,545972.6933965883,1.031081685145031e+42
0187,621814547189458.4,40819.79179996614,1.0108626221122783e+41,2800453276219.6113,476850.00108219223,5.723589810847445e+41
0188,642137064614263.0,40819.79179996614,1.1013955287612122e+41,1966042341572.603,510242.17724234634,1.287448412034111e+41
0189,684796385263151.5,39719.147316981514,1.5369287208518982e+41,908632396613.3987,493263.6037355609,3.779504405735469e+40
0190,663123774789698.0,39719.147316981514,1.1567692886686042e+41,357560277496.77295,493263.6037355609,1.0906529833076732e+40
0191,621814547189458.4,41950.93588729162,4.38686550246397e+41,2711823817433.4067,493263.6037355609,1.2121908526472192e+41
0192,642137064614263.0,40819.79179996614,2.6019504979045277e+41,1569729586402.6428,584205.2955044999,2.1662553269179595e+41
0193,422725603917276.94,39719.147316981514,5.097772517211039e+40,3396483377864.7783,476850.00108219223,8.371043619346716e+41
0194,480757418884944.3,39719.147316981514,7.792273017469857e+40,3862752970003.271,527805.1684035911,8.0911915738158e+41
0195,450808684738713.25,40819.79179996614,5.352843778546899e+40,1569729586402.6428,715729.9497136263,1.814514233207367e+42
0196,621814547189458.4,43113.424743658674,4.862571575473634e+41,637900221309.1887,715729.9497136263,2.0556047113302453e+41
0197,564625251267719.1,41950.93588729162,1.8582450284723796e+41,3084103273751.8486,527805.1684035911,8.011923499423354e+41
0198,496469822312222.06,41950.93588729162,1.1607886035832967e+41,4119368615813.722,476850.00108219223,4.803112918891937e+41
0199,496469822312222.06,39719.147316981514,7.141929969862972e+40,6673191099699.122,402620.02379144216,3.514767667018472e+41
0200,436541376626919.4,43113.424743658674,1.0739048205068038e+41,3396483377864.7783,460982.5695836015,5.436778896215548e+41
0201,465542285604540.44,43113.424743658674,1.6293094673614967e+41,294814000000.0001,161461.40010351967,0.0
